name,enrollment,rank,tuitionFee,link,image_urls,images,location
Millsaps College,744,89,"$33,982 (2014-15)",/best-colleges/millsaps-college-2414,http://colleges.usnews.rankingsandreviews.com/img/college-photo_5131._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_5131._130x0.jpg', 'path': 'full/debc3e1eedb94df09ead4d61774db1d0957a9816.jpg', 'checksum': 'e4c0a4b0ac3d135f8d1c96e4b323c4b6'}]","Jackson, MS"
St. John's College,344,89,"$47,626 (2014-15)",/best-colleges/st-johns-college-new-mexico-2093,http://colleges.usnews.rankingsandreviews.com/img/college-photo_23395._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_23395._130x0.jpg', 'path': 'full/c9842ee000949c674a1bdff0831b8fb039457046.jpg', 'checksum': '6c28c1691e5f88277e06b2d6ba243edd'}]","Santa Fe, NM"
St. Mary's College of Maryland,1819,89,"In-state: $14,874 (2014-15) Out-state: $28,674 (2014-15)",/best-colleges/st-marys-college-2095,http://colleges.usnews.rankingsandreviews.com/img/college-photo_2151._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_2151._130x0.jpg', 'path': 'full/4497e2f35a1d3ebba399340d1cf7da6ca0da63d0.jpg', 'checksum': 'db3d6bd04a9ab77e9006aca63dd823e8'}]","St. Mary's City, MD"
St. Mary's College,1479,96,"$35,970 (2014-15)",/best-colleges/st-marys-indiana-1836,http://colleges.usnews.rankingsandreviews.com/img/college-photo_6308._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_6308._130x0.JPG', 'path': 'full/df8e1620e637a66a1476ab82796c0934a2311d46.jpg', 'checksum': '423094339c9ed1c49a41953f24c765ab'}]","Notre Dame, IN"
Washington and Jefferson College,1328,96,"$41,282 (2014-15)",/best-colleges/washington-and-jefferson-college-3389,http://colleges.usnews.rankingsandreviews.com/img/college-photo_6854._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_6854._130x0.jpg', 'path': 'full/814083c1959e71a4f54e4210aaef8f61c8f6205e.jpg', 'checksum': 'e1c9997a2f51027362ec353d5166e469'}]","Washington, PA"
Westmont College,1305,96,"$39,990 (2014-15)",/best-colleges/westmont-college-1341,http://colleges.usnews.rankingsandreviews.com/img/college-photo_15307._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_15307._130x0.jpg', 'path': 'full/2b0ef4f38ae715f0677d73283ecf6bbed972553e.jpg', 'checksum': 'c7e280b65d33e75be3e415da73046f1b'}]","Santa Barbara, CA"
Albion College,1307,99,"$37,300 (2014-15)",/best-colleges/albion-college-2235,http://colleges.usnews.rankingsandreviews.com/img/college-photo_15932._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_15932._130x0.jpg', 'path': 'full/520110d4b24c7012dff3398ea9a299ef608a8819.jpg', 'checksum': '090baaefbe6580619e6cde108f12fd1a'}]","Albion, MI"
College of the Atlantic,362,99,"$40,491 (2014-15)",/best-colleges/college-of-the-atlantic-11385,http://colleges.usnews.rankingsandreviews.com/img/college-photo_16997._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_16997._130x0.JPG', 'path': 'full/fc9b6153658ccaac3cb80899f6acbac3ecfbc3ef.jpg', 'checksum': 'f08f23a99d2c2dc7b5038abc47745ba2'}]","Bar Harbor, ME"
Drew University,1493,99,"$45,214 (2014-15)",/best-colleges/drew-university-2603,http://colleges.usnews.rankingsandreviews.com/img/college-photo_4505._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_4505._130x0.JPG', 'path': 'full/61a20ee759dbc3077fdfbfd6cb78f5090534250f.jpg', 'checksum': '8385cf28f834a6533d5441a50f8cd141'}]","Madison, NJ"
Hope College,3388,99,"$29,560 (2014-15)",/best-colleges/hope-college-2273,http://colleges.usnews.rankingsandreviews.com/img/college-photo_5800._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_5800._130x0.jpg', 'path': 'full/b721ec9c83134823694f40493dee9ad7b34948d9.jpg', 'checksum': '00aaff002445d6125f77f8f695cddef0'}]","Holland, MI"
Ohio Wesleyan University,1830,99,"$41,920 (2014-15)",/best-colleges/ohio-wesleyan-3109,http://colleges.usnews.rankingsandreviews.com/img/college-photo_18263._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_18263._130x0.jpg', 'path': 'full/de287a97ec94cd6f6747ae8f54b9259d0e3d8904.jpg', 'checksum': '75595af04e843f02a2e41dece414aaae'}]","Delaware, OH"
