name,enrollment,rank,tuitionFee,link,image_urls,images,location
Case Western Reserve University,4661,38,"$43,158 (2014-15)",/best-colleges/case-western-reserve-university-3024,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8808._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8808._130x0.jpg', 'path': 'full/9b62be81babe994bcb1aeb74dc886cab96f0bf7d.jpg', 'checksum': '645a6c56bcdba6c06c6c82e949a84578'}]","Cleveland, OH"
University of California--Davis,26663,38,"In-state: $13,896 (2014-15) Out-state: $36,774 (2014-15)",/best-colleges/uc-davis-1313,http://colleges.usnews.rankingsandreviews.com/img/college-photo_9832._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_9832._130x0.jpg', 'path': 'full/5c26100b05706d3f90ceaab2ef417e430bbe9db5.jpg', 'checksum': '6ba476ba7bfd30000ff0867b8a538dbb'}]","Davis, CA"
Lehigh University,4931,40,"$44,890 (2014-15)",/best-colleges/lehigh-university-3289,http://colleges.usnews.rankingsandreviews.com/img/college-photo_17635._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_17635._130x0.jpg', 'path': 'full/c9ddd2c653762734403057f5d9e7557320a4281a.jpg', 'checksum': '9a4efcf42093ede801c683e5d15bec69'}]","Bethlehem, PA"
University of California--Santa Barbara,19362,40,"In-state: $13,746 (2014-15) Out-state: $36,624 (2014-15)",/best-colleges/ucsb-1320,http://colleges.usnews.rankingsandreviews.com/img/college-photo_1502._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_1502._130x0.jpg', 'path': 'full/212a86554a2b643c4008489fbec27663c3d88062.jpg', 'checksum': 'bb1570be2ebe89098e8504e6d74a0037'}]","Santa Barbara, CA"
Boston University,18165,42,"$46,664 (2014-15)",/best-colleges/boston-university-2130,http://colleges.usnews.rankingsandreviews.com/img/college-photo_5106._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_5106._130x0.jpg', 'path': 'full/50deb93e92c62eda74da65beea946c14d07e1d64.jpg', 'checksum': '938e2f39c0b51b804951c1590572aa0f'}]","Boston, MA"
Northeastern University,13204,42,"$43,440 (2014-15)",/best-colleges/northeastern-university-2199,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8852._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8852._130x0.jpg', 'path': 'full/c579ff834a9eed6dacb7bde266f529b67bfee635.jpg', 'checksum': '1de0325eb5eeb0678c3db8a493308f6c'}]","Boston, MA"
Rensselaer Polytechnic Institute,5452,42,"$47,908 (2014-15)",/best-colleges/rpi-2803,http://colleges.usnews.rankingsandreviews.com/img/college-photo_3848._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_3848._130x0.jpg', 'path': 'full/a14cab46b70717e7716776e70fc61025c0c56a73.jpg', 'checksum': '27b466e06c48718d4b2105627f0e34fa'}]","Troy, NY"
University of California--Irvine,23530,42,"In-state: $14,757 (2014-15) Out-state: $37,635 (2014-15)",/best-colleges/uc-irvine-1314,http://colleges.usnews.rankingsandreviews.com/img/college-photo_10350._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_10350._130x0.jpg', 'path': 'full/919e9a38617340225bdb0e13cd93e3c30301f3af.jpg', 'checksum': '1df6cdd7c6c1f83dfa229dcac5d46fb2'}]","Irvine, CA"
University of Illinois--Urbana-Champaign,32695,42,"In-state: $15,602 (2014-15) Out-state: $30,228 (2014-15)",/best-colleges/uiuc-1775,http://colleges.usnews.rankingsandreviews.com/img/college-photo_12947._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_12947._130x0.jpg', 'path': 'full/adb90138bf2de38bda2f872035db65d47494d239.jpg', 'checksum': 'dd8161a98a5871d0021ae110e1a4cd66'}]","Champaign, IL"
University of Wisconsin--Madison,31319,47,"In-state: $10,410 (2014-15) Out-state: $26,660 (2014-15)",/best-colleges/university-of-wisconsin-3895,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Madison, WI"
Pennsylvania State University--University Park,40085,48,"In-state: $17,502 (2014-15) Out-state: $30,452 (2014-15)",/best-colleges/penn-state-6965,http://colleges.usnews.rankingsandreviews.com/img/college-photo_5817._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_5817._130x0.jpg', 'path': 'full/77b752a3171fb78caa55725f218cd64df96d49f5.jpg', 'checksum': '62043cf492b25aef3448788dadcd6a50'}]","University Park, PA"
University of Florida,33168,48,"In-state: $6,313 (2014-15) Out-state: $28,591 (2014-15)",/best-colleges/university-of-florida-1535,http://colleges.usnews.rankingsandreviews.com/img/college-photo_23724._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_23724._130x0.jpg', 'path': 'full/fe9813edd28373ee7c99ea0119e28d9c16d5aa76.jpg', 'checksum': '432d90fe40e3754bcd84cec28cc1a8d1'}]","Gainesville, FL"
University of Miami,11380,48,"$44,350 (2014-15)",/best-colleges/university-of-miami-1536,http://colleges.usnews.rankingsandreviews.com/img/college-photo_11220._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_11220._130x0.jpg', 'path': 'full/991ce4004b356b9e6174c2efcd562eb055c0d0cc.jpg', 'checksum': '7d303a1e70eec1091c09c87189341765'}]","Coral Gables, FL"
University of Washington,29754,48,"In-state: $12,394 (2014-15) Out-state: $33,513 (2014-15)",/best-colleges/university-of-washington-3798,http://colleges.usnews.rankingsandreviews.com/img/college-photo_22009._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_22009._130x0.JPG', 'path': 'full/fceb5acb7dd19fa5ec7428f30ee73ae9f1e04493.jpg', 'checksum': '9be4471b5e425e407eef5ad19b0300b3'}]","Seattle, WA"
Yeshiva University,2885,48,"$38,730 (2014-15)",/best-colleges/yeshiva-university-2903,http://colleges.usnews.rankingsandreviews.com/img/college-photo_12207._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_12207._130x0.jpg', 'path': 'full/ed964486f2b75a5ccad68c0d7ef277ac66b6ab6f.jpg', 'checksum': 'f786b601972af2d562803ae52445ee9a'}]","New York, NY"
University of Texas--Austin,39979,53,"In-state: $9,798 (2014-15) Out-state: $34,722 (2014-15)",/best-colleges/university-of-texas-3658,http://colleges.usnews.rankingsandreviews.com/img/college-photo_6539._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_6539._130x0.jpg', 'path': 'full/36f843f331bf3252c4c424651a945c34b07ee7c7.jpg', 'checksum': '4358e06f1cd7de3f9b32edaf0c7f2f61'}]","Austin, TX"
George Washington University,10357,54,"$48,760 (2014-15)",/best-colleges/gwu-1444,http://colleges.usnews.rankingsandreviews.com/img/college-photo_17684._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_17684._130x0.jpg', 'path': 'full/fcb859f0940a47065746c9e3d40e37448bdd3e68.jpg', 'checksum': '83c68734906b11220cc08de280f47796'}]","Washington, DC"
Ohio State University--Columbus,44201,54,"In-state: $10,037 (2014-15) Out-state: $26,537 (2014-15)",/best-colleges/ohio-state-6883,http://colleges.usnews.rankingsandreviews.com/img/college-photo_19210._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_19210._130x0.jpg', 'path': 'full/bdbd442c286ed122c5fd664a0a3d52870995b6ef.jpg', 'checksum': '0a705f231b2f68c743b778a6c7b1b5ef'}]","Columbus, OH"
Pepperdine University,3538,54,"$46,692 (2014-15)",/best-colleges/pepperdine-university-1264,http://colleges.usnews.rankingsandreviews.com/img/college-photo_6515._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_6515._130x0.jpg', 'path': 'full/e782315932a58b641fc734ae77ad0f1baf8e3d5d.jpg', 'checksum': '1cf3853f0e28d30a4d87baa974c2bb59'}]","Malibu, CA"
Tulane University,8352,54,"$48,305 (2014-15)",/best-colleges/tulane-university-2029,http://colleges.usnews.rankingsandreviews.com/img/college-photo_14732._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_14732._130x0.jpg', 'path': 'full/a7eebeb5c9df55149a37112528c0792b3fa71c50.jpg', 'checksum': '24b6202cadf89674e81adfc15b900c19'}]","New Orleans, LA"
Fordham University,8345,58,"$43,577 (2013-14)",/best-colleges/fordham-university-2722,http://colleges.usnews.rankingsandreviews.com/img/college-photo_12860._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_12860._130x0.jpg', 'path': 'full/5a8ab13e0704e9bf006909c8a31733f2568985f4.jpg', 'checksum': '578ec1169afe20d8e3d1f3ba2b8b77c4'}]","New York, NY"
Southern Methodist University,6357,58,"$45,940 (2014-15)",/best-colleges/smu-3613,http://colleges.usnews.rankingsandreviews.com/img/college-photo_15195._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_15195._130x0.jpg', 'path': 'full/741329828bdf35d0a4c5ec55bd18d235aa6bcf4a.jpg', 'checksum': '185604204ab2fb821457d8216aa372be'}]","Dallas, TX"
Syracuse University,15097,58,"$41,886 (2014-15)",/best-colleges/syracuse-university-2882,http://colleges.usnews.rankingsandreviews.com/img/college-photo_1547._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_1547._130x0.jpg', 'path': 'full/747526194e7e0eb3fea989b52c3a10227e39d6b3.jpg', 'checksum': '835530c698cf710ad170b363ec88fb8f'}]","Syracuse, NY"
